timestamp,M-6,M-1,M-2,S-2,P-10,T-4,T-5,F-7,M-3,M-4,M-5,P-15,C-1,C-2,T-12,T-13,F-4,F-5,D-14,T-9,P-14,T-8,P-11,D-15,D-16,M-7,F-8
0,-1.0,0.9999764473126384,-0.7487382061167314,-1.0,0.9943526754200196,0.0,-1.0,-0.6428571428571428,1.0000461465337065,1.0,0.5664151403976085,0.9984341017833835,2.1466458658346337,-1.0,-0.7656756202583554,-1.0,-0.4677450414018872,-0.05983738618906642,-1.0,-0.33332882213233006,0.999425925925926,-1.0,0.9419073950487808,-1.0,-1.0,-1.0011566334736957,-0.8260869565217391
1,-1.0,0.9999764473126384,-0.7487382061167314,-1.0,0.9937879429620216,0.0,-1.0,-0.9642857142857142,1.0000461465337065,1.0,0.2804757220909948,0.9979121357111782,2.1466458658346337,-1.0,-0.7640352675825302,-0.9992140578842736,-0.46720585403427695,-0.05923788826857512,-1.0,-0.33332882213233006,0.9992962962962963,-1.0,0.9441955064035332,-1.0,-1.0,-1.0011566334736957,-0.8695652173913043
2,-1.0,0.9999764473126384,-0.7487382061167314,-1.0,0.9943526754200196,0.0,-1.0,-0.7857142857142856,1.0000461465337065,1.0,-1.2258638886296247,1.000521966072205,2.1466458658346337,-1.0,-0.7623949149067049,-0.9984281157685473,-0.4671288272674755,-0.05916295102851343,-1.0,-0.33332882213233006,0.9996111111111112,-1.0,0.9437505958623316,0.9527996298010182,0.9837348338315457,-1.0011566334736957,-0.8695652173913043
3,-1.0,0.9999764473126384,-0.7487382061167314,-1.0,0.9935055767330221,0.0,-1.0,-0.8928571428571428,1.0000461465337065,1.0,-0.4187661092882853,0.9980861244019135,2.151326053042122,-1.0,-0.7607545622308796,-0.9976421736537304,-0.46658963989986524,-0.058563453108022134,-1.0,-0.33332882213233006,0.9995,-1.0,0.9410811326151204,0.9518741323461362,-1.0,-1.0011566334736957,-0.782608695652174
4,-1.0,0.9999764473126384,-0.7487382061167314,-1.0,0.9943526754200196,0.0,-1.0,-0.9642857142857142,1.0000461465337065,1.0,0.7140426326256606,0.9984341017833835,2.1638065522620904,-1.0,-0.7591142095550543,-0.9968562315380041,-0.4516464471403814,-0.05601558694593267,-1.0,-1.0,0.9995185185185186,-1.0,0.9416531604538085,-1.0,-1.0,-1.0011566334736957,-0.8695652173913043
5,-1.0,0.9999764473126384,-0.7487382061167314,-1.0,0.9935055767330221,-1.0,-1.0,-0.857142857142857,1.0000461465337065,1.0,0.47636825743270883,0.9989560678555889,2.1731669266770672,-1.0,-0.757473856879229,-0.9960702894231872,-0.45064509917196227,-0.05519127730525675,-1.0,-0.33332882213233006,0.9995,-1.0,0.9408268980201475,-1.0,0.9837348338315457,-1.0011566334736957,-0.6956521739130435
6,-1.0,0.9999764473126384,-0.7487382061167314,-1.0,0.9935055767330221,0.0,-1.0,-0.9642857142857142,1.0000461465337065,1.0,0.5666305292103118,0.9982601130926483,2.1778471138845554,-1.0,-0.7558335042034037,-0.9952843473074608,-0.4487194300019257,-0.053992281464273706,-1.0,-0.33332882213233006,0.9994444444444445,-1.0,0.9434328026186161,0.9500231374363721,0.970371021628275,-1.0011566334736957,-0.9130434782608696
7,-1.0,0.9999764473126384,-0.7487382061167314,-1.0,0.9935055767330221,0.0,-1.0,-0.9642857142857142,1.0000461465337065,1.0,0.5653346065205362,0.9973901696389729,2.1825273010920436,-1.0,-0.7541931515275784,-0.9944984051917345,-0.9833622183708839,-0.7622241372850236,-1.0,-0.33332882213233006,0.9995740740740742,-1.0,0.9459751485683408,0.9490976399814901,0.9949885704237735,-1.0011566334736957,-0.8260869565217391
8,-1.0,0.9999764473126384,-0.7487382061167314,-1.0,0.9923761118170269,0.0,-1.0,-0.9642857142857142,1.0000461465337065,1.0,0.5653561454018061,0.9973901696389729,2.1872074882995323,-1.0,-0.7525527988517531,-0.9937124630769176,-0.9818987098016561,-0.7613248904042864,-1.0,-0.33332882213233006,0.999425925925926,-1.0,0.9409540153176339,0.9490976399814901,0.9949885704237735,-1.0011566334736957,-1.0
9,-1.0,0.7957982005746855,-1.0939818892363822,-1.0,0.991811379359028,0.0,-1.0,-0.9642857142857142,1.0000461465337065,1.0,0.5652233223006409,0.997738147020443,2.1934477379095165,-1.0,-0.7509124461759278,-0.9929265209611913,-0.9789716926632005,-0.7600509573232417,-1.0,-0.33332882213233006,0.9995740740740742,-1.0,0.9403184288302027,0.9490976399814901,0.9949885704237735,-1.0011566334736957,-0.9565217391304348
10,-1.0,0.7928658909981631,-1.0967665378063498,-1.0,0.991811379359028,0.0,-1.0,-0.7857142857142856,1.0000461465337065,1.0,0.5653310167069927,0.9970421922575028,-1.0,-1.0,-0.7492720935001025,-0.9921405788463744,-0.9778162911611785,-0.7823073176214921,-1.0,-0.33332882213233006,0.9996111111111112,-1.0,0.9428607747799279,-1.0,0.9949885704237735,-1.0011566334736957,-1.0
